GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
storage core library,cn.leancloud.callback,UpdatePasswordCallback,7,0,0,0,3,0,2,0,2,0
storage core library,cn.leancloud.callback,SendCallback,7,0,0,0,3,0,2,0,2,0
storage core library,cn.leancloud.callback,SaveCallback,7,0,0,0,3,0,2,0,2,0
storage core library,cn.leancloud.callback,GetFileCallback,8,0,0,0,3,0,2,0,2,0
storage core library,cn.leancloud.callback,GenericRetryCallback,28,0,4,0,10,0,6,0,4,0
storage core library,cn.leancloud.callback,FindCallback,0,8,0,0,0,3,0,2,0,2
storage core library,cn.leancloud.callback,DeleteCallback,0,7,0,0,0,3,0,2,0,2
storage core library,cn.leancloud.callback,CountCallback,2,11,1,1,0,3,1,2,0,2
storage core library,cn.leancloud.callback,LCCallback.new Runnable() {...},20,0,0,0,3,0,2,0,2,0
storage core library,cn.leancloud.callback,GenericObjectCallback,26,0,2,0,11,0,9,0,8,0
storage core library,cn.leancloud.callback,FollowersAndFolloweesCallback,5,3,0,0,2,1,1,1,1,1
storage core library,cn.leancloud.callback,RefreshCallback,8,0,0,0,3,0,2,0,2,0
storage core library,cn.leancloud.callback,GetCallback,0,8,0,0,0,3,0,2,0,2
storage core library,cn.leancloud.callback,StatusListCallback,8,0,0,0,3,0,2,0,2,0
storage core library,cn.leancloud.callback,RequestPasswordResetCallback,7,0,0,0,3,0,2,0,2,0
storage core library,cn.leancloud.callback,FollowCallback,8,0,0,0,3,0,2,0,2,0
storage core library,cn.leancloud.callback,ProgressCallback,7,0,0,0,3,0,2,0,2,0
storage core library,cn.leancloud.callback,GetDataStreamCallback,8,0,0,0,3,0,2,0,2,0
storage core library,cn.leancloud.callback,CloudQueryCallback,8,0,0,0,3,0,2,0,2,0
storage core library,cn.leancloud.callback,GetDataCallback,5,3,0,0,2,1,1,1,1,1
storage core library,cn.leancloud.callback,FunctionCallback,8,0,0,0,3,0,2,0,2,0
storage core library,cn.leancloud.callback,SignUpCallback,0,7,0,0,0,3,0,2,0,2
storage core library,cn.leancloud.callback,LCCallback,29,22,5,1,9,9,4,4,1,4
storage core library,cn.leancloud.callback,RequestMobileCodeCallback,7,0,0,0,3,0,2,0,2,0
storage core library,cn.leancloud.callback,RequestEmailVerifyCallback,7,0,0,0,3,0,2,0,2,0
storage core library,cn.leancloud.callback,StatusCallback,8,0,0,0,3,0,2,0,2,0
storage core library,cn.leancloud.callback,MobilePhoneVerifyCallback,7,0,0,0,3,0,2,0,2,0
storage core library,cn.leancloud.callback,LogInCallback,0,8,0,0,0,3,0,2,0,2
storage core library,cn.leancloud.gson,GsonObject.InnerEntry,5,16,0,0,2,6,1,3,1,3
storage core library,cn.leancloud.gson,JSONArrayAdapter,25,3,2,0,6,1,3,1,2,1
storage core library,cn.leancloud.gson,MapDeserializerDoubleAsIntFix,0,103,1,15,0,27,1,10,0,3
storage core library,cn.leancloud.gson,GsonObject,429,269,64,22,114,61,71,23,33,18
storage core library,cn.leancloud.gson,JSONObjectAdapter,4,24,1,1,1,6,1,3,0,3
storage core library,cn.leancloud.gson,ObjectDeserializer,21,217,10,36,5,44,10,16,0,3
storage core library,cn.leancloud.gson,GsonArray.InnerIterator,31,0,2,0,10,0,5,0,4,0
storage core library,cn.leancloud.gson,BaseOperationAdapter,25,187,9,17,9,37,8,10,0,5
storage core library,cn.leancloud.gson,NumberDeserializerDoubleAsIntFix,40,31,9,5,13,7,8,3,3,1
storage core library,cn.leancloud.gson,GSONParser,24,80,2,6,5,18,4,11,2,9
storage core library,cn.leancloud.gson,GeneralObjectAdapter,0,49,0,0,0,11,0,3,0,3
storage core library,cn.leancloud.gson,GsonWrapper.new TypeToken() {...},0,3,0,0,0,1,0,1,0,1
storage core library,cn.leancloud.gson,GsonWrapper.new TypeToken() {...},0,3,0,0,0,1,0,1,0,1
storage core library,cn.leancloud.gson,GsonArray,619,71,70,4,157,19,95,9,59,8
storage core library,cn.leancloud.gson,GsonWrapper,207,270,51,17,55,73,32,13,2,9
storage core library,cn.leancloud.gson,GSONConverterFactory,0,10,0,0,0,3,0,3,0,3
storage core library,cn.leancloud.gson,FileUploadTokenAdapter,2,137,9,9,1,30,9,3,0,3
storage core library,cn.leancloud.json,JSON,12,27,0,0,3,6,3,6,3,6
storage core library,cn.leancloud.json,JSONObject,0,6,0,0,0,2,0,2,0,2
storage core library,cn.leancloud.json,JSONObject.Builder,3,4,0,0,1,1,1,1,1,1
storage core library,cn.leancloud.json,JSONArray,0,3,0,0,0,1,0,1,0,1
storage core library,cn.leancloud.json,TypeReference,321,44,44,2,59,11,25,4,3,3
storage core library,cn.leancloud.json,ParameterizedTypeImpl,129,0,28,0,25,0,20,0,6,0
storage core library,cn.leancloud.json,JSONArray.Builder,3,4,0,0,1,1,1,1,1,1
storage core library,cn.leancloud.types,LCDate,71,24,6,0,21,9,8,5,5,5
storage core library,cn.leancloud.types,LCNull,0,10,0,0,0,3,0,3,0,3
storage core library,cn.leancloud.types,LCGeoPoint,10,56,1,1,5,15,3,8,2,8
storage core library,cn.leancloud.ops,DecrementOperation,0,6,0,0,0,2,0,1,0,1
storage core library,cn.leancloud.ops,RemoveRelationOperation,162,0,22,0,33,0,15,0,4,0
storage core library,cn.leancloud.ops,OperationBuilder,13,96,2,12,3,28,2,13,0,2
storage core library,cn.leancloud.ops,OperationBuilder.OperationType,0,134,0,0,0,14,0,1,0,1
storage core library,cn.leancloud.ops,BaseOperation,121,410,21,51,30,105,25,37,7,19
storage core library,cn.leancloud.ops,BitXOROperation,0,6,0,0,0,2,0,1,0,1
storage core library,cn.leancloud.ops,BitAndOperation,0,6,0,0,0,2,0,1,0,1
storage core library,cn.leancloud.ops,Utils,289,682,57,95,68,147,51,50,6,19
storage core library,cn.leancloud.ops,AddUniqueOperation,39,59,9,7,7,15,6,4,0,2
storage core library,cn.leancloud.ops,SetOperation,0,24,0,0,0,6,0,3,0,3
storage core library,cn.leancloud.ops,CompoundOperation,24,118,7,9,6,28,7,10,1,8
storage core library,cn.leancloud.ops,DeleteOperation,0,31,0,0,0,8,0,3,0,3
storage core library,cn.leancloud.ops,BitOrOperation,0,6,0,0,0,2,0,1,0,1
storage core library,cn.leancloud.ops,AddOperation,93,105,28,10,14,23,17,6,0,4
storage core library,cn.leancloud.ops,NullOperation,20,0,0,0,6,0,5,0,5,0
storage core library,cn.leancloud.ops,RemoveOperation,40,125,11,13,8,25,10,6,0,4
storage core library,cn.leancloud.ops,NumericOperation,93,222,23,33,17,46,21,15,0,7
storage core library,cn.leancloud.ops,IncrementOperation,0,6,0,0,0,2,0,1,0,1
storage core library,cn.leancloud.ops,AddRelationOperation,108,54,20,2,21,12,13,2,2,2
storage core library,cn.leancloud.utils,DefaultMimeTypeDetector,11,59,3,7,4,15,3,6,0,4
storage core library,cn.leancloud.utils,MimeUtils,14,973,6,4,4,322,5,4,1,3
storage core library,cn.leancloud.utils,LogUtil,11,27,2,2,3,6,3,2,1,2
storage core library,cn.leancloud.utils,LCUtils,34,205,13,15,12,41,16,15,5,12
storage core library,cn.leancloud.utils,ErrorUtils,25,70,4,6,8,17,8,6,4,5
storage core library,cn.leancloud.utils,StringUtil,70,259,23,25,21,59,20,18,4,10
storage core library,cn.leancloud.utils,FileUtil,38,74,10,14,14,18,10,10,3,5
storage core library,cn.leancloud,LCFile,289,591,48,52,73,142,61,45,20,36
storage core library,cn.leancloud,Transformer,127,196,21,31,28,55,16,18,1,7
storage core library,cn.leancloud,LCLogger.Level,0,92,0,0,0,6,0,3,0,3
storage core library,cn.leancloud,LCStatisticResult,10,0,0,0,4,0,3,0,3,0
storage core library,cn.leancloud,LCRanking,45,0,0,0,19,0,13,0,13,0
storage core library,cn.leancloud,LCFriendshipRequest.RequestStatus,0,34,0,0,0,2,0,1,0,1
storage core library,cn.leancloud,LCStatusQuery.SourceType,0,24,0,0,0,3,0,1,0,1
storage core library,cn.leancloud,LCCloudQuery.new Function() {...},0,41,0,2,0,9,0,3,0,2
storage core library,cn.leancloud,LCObject,391,2085,82,188,89,479,85,186,16,120
storage core library,cn.leancloud,ArchivedRequests,127,284,22,22,30,68,19,17,2,12
storage core library,cn.leancloud,LCStatistic,51,0,0,0,21,0,15,0,15,0
storage core library,cn.leancloud,LCACL.Permissions,47,77,13,11,15,19,12,6,2,4
storage core library,cn.leancloud,ArchivedRequests.new Observer() {...},22,54,1,1,3,9,2,4,1,4
storage core library,cn.leancloud,ArchivedRequests.new Observer() {...},79,0,2,0,12,0,6,0,5,0
storage core library,cn.leancloud,LCStatusQuery,62,298,13,39,14,70,17,28,5,14
storage core library,cn.leancloud,ArchivedRequests.new TimerTask() {...},11,52,5,7,3,12,5,3,0,2
storage core library,cn.leancloud,LCLogger,74,85,9,9,28,28,14,12,8,9
storage core library,cn.leancloud,LCLeaderboard.LCLeaderboardOrder,24,0,0,0,3,0,1,0,1,0
storage core library,cn.leancloud,LCQuery,390,597,25,15,86,151,51,68,34,65
storage core library,cn.leancloud,LCObject.Hook,0,64,0,0,0,2,0,1,0,1
storage core library,cn.leancloud,LCLeaderboard.new Function() {...},8,0,0,0,2,0,2,0,2,0
storage core library,cn.leancloud,LCQuery.CachePolicy,0,64,0,0,0,3,0,1,0,1
storage core library,cn.leancloud,LCLeaderboard.LCLeaderboardUpdateStrategy,34,0,0,0,4,0,1,0,1,0
storage core library,cn.leancloud,LCLeaderboard.new Function() {...},28,0,2,0,6,0,3,0,2,0
storage core library,cn.leancloud,LCUser.SNS_PLATFORM,70,0,0,0,6,0,3,0,3,0
storage core library,cn.leancloud,LCLeaderboard.new Function() {...},22,0,2,0,3,0,3,0,2,0
storage core library,cn.leancloud,LCLeaderboard.new Function() {...},8,0,0,0,2,0,2,0,2,0
storage core library,cn.leancloud,LCLeaderboard.new Function() {...},26,0,2,0,6,0,3,0,2,0
storage core library,cn.leancloud,LCInstallation,115,185,15,15,34,58,15,17,3,14
storage core library,cn.leancloud,LCUser,945,1118,145,119,182,264,149,96,41,72
storage core library,cn.leancloud,LCStatus,213,333,20,16,57,88,47,28,33,24
storage core library,cn.leancloud,LCQuery.new Function() {...},0,46,0,2,0,8,0,3,0,2
storage core library,cn.leancloud,LCQuery.new Function() {...},0,25,1,3,0,4,1,3,0,2
storage core library,cn.leancloud,LCQuery.new Function() {...},0,19,0,0,0,3,0,2,0,2
storage core library,cn.leancloud,LCQuery.new Function() {...},0,9,0,0,0,2,0,2,0,2
storage core library,cn.leancloud,LCCloudQuery,62,45,6,4,10,10,10,3,5,3
storage core library,cn.leancloud,LCLeaderboard,700,0,68,0,142,0,70,0,36,0
storage core library,cn.leancloud,LCUser.new Observer() {...},15,25,1,1,3,7,2,4,1,4
storage core library,cn.leancloud,LCException,20,23,3,1,6,8,3,3,1,3
storage core library,cn.leancloud,LCUser.new Function() {...},0,17,0,0,0,4,0,2,0,2
storage core library,cn.leancloud,LCUser.new Function() {...},11,6,0,0,3,1,1,1,1,1
storage core library,cn.leancloud,LCUser.new Function() {...},0,17,0,0,0,4,0,2,0,2
storage core library,cn.leancloud,LCUser.new Function() {...},0,14,0,2,0,4,0,3,0,2
storage core library,cn.leancloud,LCUser.new Function() {...},0,25,1,1,0,5,1,2,0,2
storage core library,cn.leancloud,LCPush.new Observer() {...},46,0,4,0,11,0,7,0,5,0
storage core library,cn.leancloud,LCStatusQuery.new Function() {...},0,33,1,5,0,7,1,4,0,2
storage core library,cn.leancloud,LCStatusQuery.new Function() {...},0,33,1,5,0,7,1,4,0,2
storage core library,cn.leancloud,LCLeaderboard.LCLeaderboardVersionChangeInterval,44,0,0,0,5,0,1,0,1,0
storage core library,cn.leancloud,LCStatus.new Function() {...},0,13,0,0,0,3,0,2,0,2
storage core library,cn.leancloud,LCRelation,105,109,12,8,21,31,16,10,6,10
storage core library,cn.leancloud,LCStatus.INBOX_TYPE,0,37,0,0,0,6,0,3,0,3
storage core library,cn.leancloud,LCFriendshipRequest,45,23,2,2,13,8,8,3,6,3
storage core library,cn.leancloud,LCObject.7.new Function() {...},6,76,6,6,2,13,5,3,0,2
storage core library,cn.leancloud,LCFile.new Function() {...},13,121,2,2,5,17,2,2,0,2
storage core library,cn.leancloud,LCFile.new Callable() {...},0,10,0,0,0,2,0,2,0,2
storage core library,cn.leancloud,LCFile.new Observer() {...},36,0,4,0,9,0,7,0,5,0
storage core library,cn.leancloud,LCRole,4,39,0,0,1,14,1,7,1,7
storage core library,cn.leancloud,LCFile.new Function() {...},0,26,0,0,0,5,0,2,0,2
storage core library,cn.leancloud,LCFile.new Callable() {...},0,10,0,0,0,2,0,2,0,2
storage core library,cn.leancloud,LCLeaderboardResult,20,0,0,0,8,0,6,0,6,0
storage core library,cn.leancloud,LCObject.new Function() {...},0,21,0,0,0,4,0,2,0,2
storage core library,cn.leancloud,LCObject.new Function() {...},0,44,2,2,0,8,2,2,0,2
storage core library,cn.leancloud,LCObject.new Function() {...},0,21,0,0,0,4,0,2,0,2
storage core library,cn.leancloud,LCObject.new Function() {...},0,21,0,0,0,4,0,2,0,2
storage core library,cn.leancloud,LCPush,267,267,16,26,81,71,41,21,27,14
storage core library,cn.leancloud,LCObject.new Function() {...},0,94,1,7,0,18,1,5,0,2
storage core library,cn.leancloud,LCObject.new Function() {...},0,48,0,2,0,7,0,3,0,2
storage core library,cn.leancloud,LCObject.new Observer() {...},20,12,4,0,5,5,3,4,1,4
storage core library,cn.leancloud,LCObject.new Observer() {...},5,12,0,0,2,5,1,4,1,4
storage core library,cn.leancloud,LCFriendship,34,11,2,0,10,5,6,2,5,2
storage core library,cn.leancloud,LCObject.new Function() {...},0,45,3,3,0,8,3,2,0,2
storage core library,cn.leancloud,LCObject.new Function() {...},0,60,1,7,0,12,1,5,0,2
storage core library,cn.leancloud,LCObject.new Function() {...},0,22,0,0,0,5,0,2,0,2
storage core library,cn.leancloud,LCACL,207,211,41,23,44,48,38,20,11,15
storage core library,cn.leancloud,LCStatusQuery.PaginationDirection,3,34,0,0,1,6,1,2,1,2
storage core library,cn.leancloud,LCCloud,21,47,0,0,5,9,3,8,3,8
storage core library,cn.leancloud,StatusIterator,48,124,15,15,12,33,18,11,5,9
storage core library,cn.leancloud,LCSaveOption,5,8,0,0,2,3,1,2,1,2
storage core library,cn.leancloud.core,StorageClient.new Function() {...},60,0,4,0,9,0,4,0,2,0
storage core library,cn.leancloud.core,StorageClient.new Function() {...},38,0,0,0,3,0,2,0,2,0
storage core library,cn.leancloud.core,StorageClient.new Function() {...},0,25,0,0,0,3,0,2,0,2
storage core library,cn.leancloud.core,StorageClient.new Function() {...},1,59,1,3,0,9,1,3,0,2
storage core library,cn.leancloud.core,StorageClient.new Function() {...},0,34,0,2,0,7,0,3,0,2
storage core library,cn.leancloud.core,StorageClient.new Function() {...},0,14,0,0,0,2,0,2,0,2
storage core library,cn.leancloud.core,StorageClient.5.new Function() {...},1,56,1,3,0,9,1,3,0,2
storage core library,cn.leancloud.core,StorageClient.new Function() {...},0,46,0,0,0,4,0,2,0,2
storage core library,cn.leancloud.core,StorageClient.new Function() {...},1,44,1,3,0,8,1,3,0,2
storage core library,cn.leancloud.core,StorageClient.new Function() {...},0,10,0,0,0,2,0,2,0,2
storage core library,cn.leancloud.core,StorageClient,852,1006,115,45,161,193,101,65,30,54
storage core library,cn.leancloud.core,ErrorInterceptor,25,0,2,0,9,0,4,0,3,0
storage core library,cn.leancloud.core,StorageClient.new StorageClient.QueryExecutor() {...},0,44,1,3,0,2,1,3,0,2
storage core library,cn.leancloud.core,StorageClient.new Function() {...},14,0,2,0,2,0,3,0,2,0
storage core library,cn.leancloud.core,StorageClient.new StorageClient.QueryExecutor() {...},44,0,4,0,2,0,4,0,2,0
storage core library,cn.leancloud.core,StorageClient.new StorageClient.QueryExecutor() {...},0,33,0,0,0,3,0,2,0,2
storage core library,cn.leancloud.core,StorageClient.new StorageClient.QueryExecutor() {...},33,0,0,0,3,0,2,0,2,0
storage core library,cn.leancloud.core,PushClient,12,50,3,3,3,15,3,3,0,3
storage core library,cn.leancloud.core,StorageClient.30.new Function() {...},43,0,6,0,10,0,5,0,2,0
storage core library,cn.leancloud.core,LeanCloud.REGION,0,34,0,0,0,2,0,1,0,1
storage core library,cn.leancloud.core,PaasClient.new Consumer() {...},0,33,0,0,0,11,0,2,0,2
storage core library,cn.leancloud.core,PushClient.new Function() {...},0,10,0,0,0,2,0,2,0,2
storage core library,cn.leancloud.core,LeanService,0,70,0,0,0,6,0,3,0,3
storage core library,cn.leancloud.core,StorageClient.32.new Function() {...},21,50,6,6,7,12,6,2,0,2
storage core library,cn.leancloud.core,RequestPaddingInterceptor,4,51,1,3,2,14,2,4,1,3
storage core library,cn.leancloud.core,AppRouter.new Function() {...},55,0,10,0,16,0,9,0,2,0
storage core library,cn.leancloud.core,AppRouter.new Function() {...},0,44,2,2,0,7,2,2,0,2
storage core library,cn.leancloud.core,AppRouter.new Function() {...},53,0,2,0,9,0,3,0,2,0
storage core library,cn.leancloud.core,AppConfiguration,179,123,24,6,65,56,31,22,16,22
storage core library,cn.leancloud.core,GeneralRequestSignature,0,81,0,8,0,21,0,11,0,7
storage core library,cn.leancloud.core,StorageClient.new Function() {...},0,30,0,0,0,3,0,2,0,2
storage core library,cn.leancloud.core,StorageClient.new Function() {...},0,14,0,0,0,2,0,2,0,2
storage core library,cn.leancloud.core,StorageClient.new Function() {...},0,18,0,0,0,3,0,2,0,2
storage core library,cn.leancloud.core,StorageClient.new Function() {...},0,29,0,0,0,5,0,2,0,2
storage core library,cn.leancloud.core,StorageClient.new Function() {...},0,11,0,0,0,2,0,2,0,2
storage core library,cn.leancloud.core,StorageClient.new Function() {...},0,11,0,0,0,3,0,2,0,2
storage core library,cn.leancloud.core,StorageClient.new Function() {...},29,0,0,0,5,0,2,0,2,0
storage core library,cn.leancloud.core,PaasClient,39,103,1,7,12,34,2,8,1,5
storage core library,cn.leancloud.core,StorageClient.new Function() {...},3,12,1,1,1,3,1,2,0,2
storage core library,cn.leancloud.core,StorageClient.new Function() {...},0,34,0,0,0,5,0,2,0,2
storage core library,cn.leancloud.core,StorageClient.new Function() {...},0,34,0,0,0,5,0,2,0,2
storage core library,cn.leancloud.core,StorageClient.new Function() {...},21,0,2,0,4,0,3,0,2,0
storage core library,cn.leancloud.core,StorageClient.new Function() {...},2,42,2,4,1,8,2,3,0,2
storage core library,cn.leancloud.core,StorageClient.new Function() {...},5,18,1,1,2,3,1,2,0,2
storage core library,cn.leancloud.core,StorageClient.new Function() {...},27,0,4,0,5,0,4,0,2,0
storage core library,cn.leancloud.core,StorageClient.new Function() {...},59,12,8,0,12,1,5,1,1,1
storage core library,cn.leancloud.core,StorageClient.new Function() {...},22,49,3,5,5,8,3,3,0,2
storage core library,cn.leancloud.core,StorageClient.new Function() {...},5,34,1,3,2,7,1,3,0,2
storage core library,cn.leancloud.core,StorageClient.new Function() {...},5,34,1,3,2,7,1,3,0,2
storage core library,cn.leancloud.core,StorageClient.new Function() {...},0,26,0,0,0,3,0,2,0,2
storage core library,cn.leancloud.core,StorageClient.new Function() {...},17,9,0,0,2,1,1,1,1,1
storage core library,cn.leancloud.core,LeanCloud,42,120,5,5,19,53,13,20,9,19
storage core library,cn.leancloud.core,AppRouter,181,510,36,32,48,116,34,18,3,12
storage core library,cn.leancloud.core,LoggingInterceptor,32,218,3,13,6,44,3,9,0,4
storage core library,cn.leancloud.query,LCCloudQueryResult,3,17,0,0,1,7,1,4,1,4
storage core library,cn.leancloud.query,QueryOperation,116,119,36,22,22,27,30,8,4,5
storage core library,cn.leancloud.query,LCQueryResult,0,58,0,0,0,16,0,10,0,10
storage core library,cn.leancloud.query,QueryConditions,427,633,51,54,108,162,54,58,20,39
storage core library,cn.leancloud.network,SimpleNetworkingDetector,4,54,2,8,3,18,2,6,0,3
storage core library,cn.leancloud.network,NetworkingDetector.NetworkType,0,34,0,0,0,2,0,1,0,1
storage core library,cn.leancloud.network,DNSDetoxicant,260,17,21,1,48,5,15,3,4,3
storage core library,cn.leancloud.internal,ThreadModel,3,0,0,0,1,0,1,0,1,0
storage core library,cn.leancloud.logging,SimpleLoggerAdapter,2,30,1,1,0,9,1,3,0,3
storage core library,cn.leancloud.logging,InternalLoggerAdapter,12,3,2,0,4,1,2,1,1,1
storage core library,cn.leancloud.logging,SimpleLogger,39,78,5,4,11,24,6,7,1,5
storage core library,cn.leancloud.logging,InternalLogger,6,20,0,0,2,8,1,4,1,4
storage core library,cn.leancloud.sms,LCCaptchaOption,44,0,0,0,13,0,6,0,6,0
storage core library,cn.leancloud.sms,LCCaptcha,37,0,6,0,9,0,6,0,3,0
storage core library,cn.leancloud.sms,LCSMS,20,38,5,5,4,8,5,5,2,3
storage core library,cn.leancloud.sms,LCCaptchaValidateResult,17,0,0,0,7,0,5,0,5,0
storage core library,cn.leancloud.sms,LCSMS.TYPE,0,37,0,0,0,6,0,3,0,3
storage core library,cn.leancloud.sms,LCCaptchaDigest,11,6,0,0,5,2,3,2,3,2
storage core library,cn.leancloud.sms,LCSMSOption,30,96,5,5,10,27,8,9,4,8
storage core library,cn.leancloud.codec,Base64Encoder,36,450,8,12,10,45,7,10,0,7
storage core library,cn.leancloud.codec,SHA1,3,74,1,7,1,14,2,5,1,2
storage core library,cn.leancloud.codec,Base64.Encoder,282,852,47,29,29,60,36,7,1,3
storage core library,cn.leancloud.codec,Base64Decoder,77,466,11,23,17,47,9,15,1,6
storage core library,cn.leancloud.codec,AES,378,0,8,0,78,0,12,0,8,0
storage core library,cn.leancloud.codec,Base64.Coder,0,3,0,0,0,1,0,1,0,1
storage core library,cn.leancloud.codec,Base64.Decoder,160,2259,34,21,44,48,27,9,1,3
storage core library,cn.leancloud.codec,Base64,63,115,14,9,12,21,12,8,1,7
storage core library,cn.leancloud.codec,MDFive,65,110,13,13,27,27,15,7,5,4
storage core library,cn.leancloud.convertor,ObserverBuilder.CollectionObserver,10,14,0,0,3,7,1,4,1,4
storage core library,cn.leancloud.convertor,ObserverBuilder,83,30,0,0,17,6,17,6,17,6
storage core library,cn.leancloud.convertor,ObserverBuilder.SingleObjectObserver,0,38,0,2,0,14,0,6,0,5
storage core library,cn.leancloud.service,AppAccessEndpoint,27,110,12,8,5,46,9,22,1,16
storage core library,cn.leancloud.service,RTMConnectionServerResponse,16,22,0,0,8,8,4,7,4,7
storage core library,cn.leancloud.search,LCSearchQuery.new Function() {...},0,11,0,0,0,2,0,2,0,2
storage core library,cn.leancloud.search,LCSearchSortBuilder,18,147,0,0,3,29,3,10,3,10
storage core library,cn.leancloud.search,LCSearchQuery,191,319,32,24,42,73,42,20,15,19
storage core library,cn.leancloud.search,LCSearchResponse,0,3,0,0,0,1,0,1,0,1
storage core library,cn.leancloud.upload,QCloudUploader.new FileUploader.FileUploadProgressCallback() {...},11,0,0,0,3,0,2,0,2,0
storage core library,cn.leancloud.upload,S3Uploader,230,0,24,0,55,0,18,0,6,0
storage core library,cn.leancloud.upload,QCloudUploader.SliceUploadTask,173,0,14,0,45,0,10,0,3,0
storage core library,cn.leancloud.upload,QiniuAccessor.QiniuMKFileResponseData,0,24,0,0,0,2,0,2,0,2
storage core library,cn.leancloud.upload,FileUploadToken,44,187,10,10,1,41,11,17,1,17
storage core library,cn.leancloud.upload,QiniuAccessor.QiniuBlockResponseData,32,44,0,0,14,3,9,3,9,3
storage core library,cn.leancloud.upload,FileUploader.ProgressCalculator,0,64,1,3,0,14,1,3,0,2
storage core library,cn.leancloud.upload,QCloudUploader,411,0,40,0,97,0,27,0,7,0
storage core library,cn.leancloud.upload,FileDownloader,46,136,7,11,12,42,7,7,0,5
storage core library,cn.leancloud.upload,QiniuAccessor,213,227,18,4,44,41,13,5,2,5
storage core library,cn.leancloud.upload,QiniuSlicingUploader,78,290,12,16,11,47,12,5,0,3
storage core library,cn.leancloud.upload,HttpClientUploader,64,48,11,1,16,17,10,4,4,4
storage core library,cn.leancloud.upload,QiniuSlicingUploader.new FileUploader.FileUploadProgressCallback() {...},0,11,0,0,0,3,0,2,0,2
storage core library,cn.leancloud.upload,FileUploader,47,102,6,6,10,27,7,5,1,5
storage core library,cn.leancloud.cache,LastModifyCache,31,0,2,0,12,0,6,0,5,0
storage core library,cn.leancloud.cache,QueryResultCache,73,240,9,13,13,51,9,12,1,9
storage core library,cn.leancloud.cache,PersistenceUtil,209,389,46,38,55,89,39,21,2,16
storage core library,cn.leancloud.cache,LocalStorage,98,137,30,16,29,33,24,9,2,8
storage core library,cn.leancloud.cache,FileCache,5,24,0,2,1,8,1,5,1,4
storage core library,cn.leancloud.cache,InMemorySetting,104,22,9,1,25,6,16,3,11,3
storage core library,cn.leancloud.cache,QueryResultCache.new Callable() {...},48,95,9,7,9,12,7,3,0,2
storage core library,cn.leancloud.cache,QueryResultCache.new Callable() {...},56,101,9,7,8,15,6,4,0,2
